timestamp,Model,f1_1,auroc,auprc,final_loss,__source
2026-05-17 12:39:56,loss_step4_bgrl_BootstrapLatent_s2024,0.6296622872762543,0.987676434859068,0.5542358663165242,0.5285662412643433,step4
2026-05-17 12:43:22,loss_step4_bgrl_BootstrapLatent_s2025,0.6272336274553274,0.9867759860226823,0.5588136991119836,0.483217716217041,step4
2026-05-17 12:46:57,loss_step4_bgrl_BootstrapLatent_s2026,0.6268683274021353,0.9857707517908084,0.5528027374630726,0.5423680543899536,step4
2026-05-17 12:50:31,loss_step4_bgrl_BootstrapLatent_s2027,0.6264933239634575,0.988788364288848,0.5605918561067216,0.5313135385513306,step4
2026-05-17 12:54:52,loss_step4_dgi_BootstrapLatent_s2024,0.0760334543027572,0.9365297315876218,0.530402932574607,0.4997841119766235,step4
2026-05-17 12:59:02,loss_step4_dgi_BootstrapLatent_s2025,0.0606103115922894,0.9468441534131018,0.5373550792462288,0.4770076274871826,step4
2026-05-17 13:03:06,loss_step4_dgi_BootstrapLatent_s2026,0.0687332797036649,0.9441725150616074,0.5436236639070396,0.5038737058639526,step4
2026-05-17 13:07:27,loss_step4_dgi_BootstrapLatent_s2027,0.05769462509378,0.9436861683294326,0.5433847395871114,0.4560029506683349,step4
2026-05-17 13:11:08,loss_step4_dgi_bn_BootstrapLatent_s2024,0.6673350187429169,0.9911227249237816,0.5890161765972959,0.4550378322601318,step4
2026-05-17 13:14:38,loss_step4_dgi_bn_BootstrapLatent_s2025,0.6646507143483215,0.9906242939765076,0.5923967182646128,0.4522817134857178,step4
2026-05-17 13:18:09,loss_step4_dgi_bn_BootstrapLatent_s2026,0.6667537557152188,0.9909707392049426,0.5903414699096461,0.4702755212783813,step4
2026-05-17 13:21:37,loss_step4_dgi_bn_BootstrapLatent_s2027,0.6686644951140065,0.990430323489341,0.5769201807155228,0.491556167602539,step4
2026-05-17 13:26:05,loss_step4_mvgrl_BootstrapLatent_s2024,0.0696921045381568,0.941733336768898,0.5299913529397678,0.5025649070739746,step4
2026-05-17 13:30:25,loss_step4_mvgrl_BootstrapLatent_s2025,0.0598908644555983,0.953729865145555,0.5444346184155486,0.4897310733795166,step4
2026-05-17 13:34:44,loss_step4_mvgrl_BootstrapLatent_s2026,0.068570627933587,0.9431006156208456,0.5415854061708324,0.4987399578094482,step4
2026-05-17 13:38:51,loss_step4_mvgrl_BootstrapLatent_s2027,0.0607442019488289,0.9494440339369802,0.5515748891590326,0.4719657897949219,step4
2026-05-17 13:42:18,loss_step4_mvgrl_bn_BootstrapLatent_s2024,0.6671607306334191,0.9910899914438496,0.588342014262098,0.4533729553222656,step4
2026-05-17 13:45:45,loss_step4_mvgrl_bn_BootstrapLatent_s2025,0.664970834612517,0.9906978041022269,0.595765391539825,0.4502760171890259,step4
2026-05-17 13:49:10,loss_step4_mvgrl_bn_BootstrapLatent_s2026,0.6668118277228585,0.9909481148163324,0.588215508801151,0.4731868505477905,step4
2026-05-17 13:52:40,loss_step4_mvgrl_bn_BootstrapLatent_s2027,0.668173519951317,0.9901796138714236,0.5779257346293623,0.4974274635314941,step4
2026-05-17 13:56:27,loss_step4_grace_BootstrapLatent_s2024,0.0732100830385292,0.9515793734501108,0.5360684590793205,0.5119454860687256,step4
2026-05-17 14:00:19,loss_step4_grace_BootstrapLatent_s2025,0.0597789929738588,0.9493078088944016,0.5385822381036176,0.5066993236541748,step4
2026-05-17 14:04:25,loss_step4_grace_BootstrapLatent_s2026,0.0725566941368526,0.9473775864610594,0.5398800729018867,0.5157779455184937,step4
2026-05-17 14:08:27,loss_step4_grace_BootstrapLatent_s2027,0.0599963667924833,0.94523355230379,0.548112912428243,0.5121934413909912,step4
2026-05-17 14:13:15,loss_step4_grace_bn_BootstrapLatent_s2024,0.6699706153238894,0.9911037455860344,0.5910711002415299,0.4879270792007446,step4
2026-05-17 14:17:53,loss_step4_grace_bn_BootstrapLatent_s2025,0.6663141661158846,0.989521801424713,0.5850751244727977,0.4908428192138672,step4
2026-05-17 14:22:30,loss_step4_grace_bn_BootstrapLatent_s2026,0.6720812182741117,0.9909951559123964,0.5825758720483706,0.4921495914459228,step4
2026-05-17 14:27:08,loss_step4_grace_bn_BootstrapLatent_s2027,0.6707333128538202,0.989600135508715,0.5745106520246854,0.5149905681610107,step4
2026-05-17 15:22:03,loss_step6_gin_BootstrapLatent_s2026,0.5844761904761905,0.9735973527645012,0.504203032285428,0.2952181100845337,step6
2026-05-17 15:24:20,loss_step6_gin_BootstrapLatent_s2027,0.5498308955945008,0.9680455008425732,0.4937515196643353,0.3315721750259399,step6
2026-05-17 15:28:56,loss_step6_gin_BootstrapLatent_s2024,0.5897987833411324,0.9753258029455149,0.5105500714822807,0.454877495765686,step6
2026-05-17 15:32:26,loss_step7_aml_dgi_bn_JSD_s2024,0.046983608359972,0.728140969509859,0.0311677092154005,-0.0122167896479368,step7_p1
2026-05-17 15:32:53,loss_step6_gin_BootstrapLatent_s2025,0.6152138821630347,0.9745676404346753,0.5038077198589944,0.2798217535018921,step6
2026-05-17 15:37:42,loss_step7_aml_dgi_bn_JSD_s2025,0.0497404495288643,0.7394581816880695,0.0322266389036313,-0.0100790094584226,step7_p1
2026-05-17 15:42:09,loss_step7_aml_dgi_bn_JSD_s2026,0.049449299299721,0.7337604548476876,0.0314844182851799,-0.0390506610274314,step7_p1
2026-05-17 15:46:35,loss_step7_aml_dgi_bn_JSD_s2027,0.0476141204062979,0.7333269527698676,0.0310268057220143,-0.0155646745115518,step7_p1
2026-05-17 15:51:13,loss_step7_aml_mvgrl_bn_JSD_s2024,0.0468573652461568,0.7270417033610564,0.0296321719271544,-0.0194397699087858,step7_p1
2026-05-17 15:54:03,loss_step7_aml_grace_bn_InfoNCE_s2024,0.0514351916585102,0.7173990181634141,0.0279745782251783,8.182385444641113,step7
2026-05-17 15:56:29,loss_step7_aml_mvgrl_bn_JSD_s2025,0.0492448528887939,0.7361073560767668,0.0310948202427597,-0.0117451716214418,step7_p1
2026-05-17 15:58:37,loss_step7_aml_grace_bn_InfoNCE_s2025,0.0560700393790869,0.7157683344510494,0.0305047995458304,8.176566123962402,step7
2026-05-17 16:01:21,loss_step7_aml_mvgrl_bn_JSD_s2026,0.0492049455225001,0.7316736811596289,0.0312301638545549,-0.0438316836953163,step7_p1
2026-05-17 16:03:01,loss_step7_aml_grace_bn_InfoNCE_s2026,0.0549783447329183,0.7140010763913718,0.0301748334456123,8.186161041259766,step7
2026-05-17 16:06:17,loss_step7_aml_mvgrl_bn_JSD_s2027,0.0488166514903664,0.7343603770949496,0.0325808535675768,-0.0286605525761842,step7_p1
2026-05-17 16:07:21,loss_step7_aml_grace_bn_InfoNCE_s2027,0.0517266839651498,0.7279717152029781,0.0297144424809822,8.206762313842773,step7
2026-05-17 16:07:46,loss_step7_amlnet_dgi_bn_JSD_s2024,0.6862410378968932,0.9250593760688482,0.7880565086916491,-0.1610568761825561,step7
2026-05-17 16:08:08,loss_step7_amlnet_dgi_bn_JSD_s2025,0.675783855903936,0.9290208943971112,0.7807907617046779,-0.1490288376808166,step7
2026-05-17 16:08:33,loss_step7_amlnet_dgi_bn_JSD_s2026,0.6765211412856652,0.9263349578818476,0.7788956787901032,-0.1444038450717926,step7
2026-05-17 16:08:51,loss_step7_amlnet_dgi_bn_JSD_s2027,0.6739202110121991,0.9265057290075116,0.7722853374081331,-0.1642772555351257,step7
2026-05-17 16:09:08,loss_step7_amlnet_mvgrl_bn_JSD_s2024,0.6860068259385665,0.9252886319276484,0.7886815996293001,-0.1613668203353881,step7
2026-05-17 16:09:27,loss_step7_amlnet_mvgrl_bn_JSD_s2025,0.6751167444963309,0.9290718123683686,0.7808896195726187,-0.1501486152410507,step7
2026-05-17 16:09:44,loss_step7_amlnet_mvgrl_bn_JSD_s2026,0.6765211412856652,0.92613111974746,0.7787500062399889,-0.1473567187786102,step7
2026-05-17 16:10:02,loss_step7_amlnet_mvgrl_bn_JSD_s2027,0.6741350906095552,0.9265644052258754,0.771311185794403,-0.1626482903957367,step7
2026-05-17 16:10:18,loss_step7_amlnet_grace_bn_InfoNCE_s2024,0.6780122532334921,0.9211506944305972,0.7824435845891342,7.999726295471191,step7
2026-05-17 16:10:35,loss_step7_amlnet_grace_bn_InfoNCE_s2025,0.6781609195402298,0.9263009350440752,0.7712462941909347,7.981224060058594,step7
2026-05-17 16:10:52,loss_step7_amlnet_grace_bn_InfoNCE_s2026,0.6725483542585681,0.926199737417081,0.7742744543013196,7.967145919799805,step7
2026-05-17 16:11:09,loss_step7_amlnet_grace_bn_InfoNCE_s2027,0.6664488729173472,0.9228041826254444,0.7702212158583502,7.975544929504394,step7
