dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
amlnet,gcn,2024,0.4625199362041467,0.3764278296988577,0.5996691480562448,0.7868625496716487,0.4825551791191038
amlnet,gcn,2025,0.4604749023143973,0.3609802073515551,0.6356846473029045,0.7913028608579022,0.4962555092849091
amlnet,gcn,2026,0.4721242060691602,0.4022850270595309,0.5713065755764304,0.7920341713755962,0.4724986969551379
amlnet,gcn,2027,0.4709551656920078,0.4415204678362573,0.504594820384294,0.7681352093460886,0.4509714595197229
amlnet,gat,2024,0.5248868778280543,0.5220949263502455,0.5277088502894954,0.8142480554929933,0.5878625123701232
amlnet,gat,2025,0.5428156748911466,0.6508120649651972,0.4655601659751037,0.8250956760699193,0.6150732305289386
amlnet,gat,2026,0.4344597103601931,0.3843626806833114,0.4995730145175064,0.7740839904902402,0.479321636652834
amlnet,gat,2027,0.4994082840236686,0.4730941704035874,0.5288220551378446,0.7984766379098257,0.5652011774694761
amlnet,sage,2024,0.6998525073746312,0.6314038589487692,0.7849462365591398,0.9333103532664982,0.7960036688328843
amlnet,sage,2025,0.7127866303925379,0.6703216374269005,0.7609958506224066,0.9368710578864126,0.8075015805679836
amlnet,sage,2026,0.7147335423197492,0.6603910209992759,0.7788215200683177,0.943704742980933,0.8122553629099807
amlnet,sage,2027,0.7053661829227135,0.5917327293318233,0.873015873015873,0.9470633926215865,0.8093640562550448
amlnet,lgbm,2024,0.6872791519434629,0.7374407582938388,0.6435070306038048,0.9322131613129868,0.7881030175327751
amlnet,lgbm,2025,0.6721100128921358,0.696969696969697,0.6489626556016598,0.9326629498004528,0.7762352291999989
amlnet,lgbm,2026,0.6904250751395449,0.694300518134715,0.6865926558497011,0.9372565849735812,0.7831326555257913
amlnet,lgbm,2027,0.698348771647201,0.6741835147744946,0.7243107769423559,0.9423094102479664,0.79337827451838
amlnet,xgb,2024,0.690159003008165,0.7182468694096601,0.664185277088503,0.934228738725575,0.7889726590680513
amlnet,xgb,2025,0.6999587288485348,0.6962233169129721,0.703734439834025,0.9389437252614872,0.7885955370010109
amlnet,xgb,2026,0.6981818181818182,0.6625766871165644,0.7378309137489325,0.9384821883417348,0.7750929180223485
amlnet,xgb,2027,0.70727969348659,0.6532200990799717,0.77109440267335,0.9395994260279134,0.790063928542836
amlnet,mlp,2024,0.6838028169014084,0.595340282035561,0.8031430934656741,0.9150328645465076,0.6765093157108667
amlnet,mlp,2025,0.6796521739130434,0.5850299401197605,0.8107883817427386,0.9154990043132768,0.6267230234064561
amlnet,mlp,2026,0.6787658802177858,0.5902777777777778,0.798462852263023,0.8922985788754514,0.5803697115170877
amlnet,mlp,2027,0.6891156462585034,0.5811818703384969,0.8462823725981621,0.892847500838114,0.5699801250213806
